Airport.Code,Airport.Name,Time.Month,Time.Year,Statistics.# of Delays.Carrier,Statistics.# of Delays.Late Aircraft,Statistics.# of Delays.National Aviation System,Statistics.# of Delays.Weather,Statistics.Flights.Cancelled,Statistics.Flights.On Time,Statistics.Flights.Total,Statistics.Minutes Delayed.Carrier,Statistics.Minutes Delayed.Late Aircraft,Statistics.Minutes Delayed.National Aviation System,Statistics.Minutes Delayed.Total,Statistics.Minutes Delayed.Weather
SAN,"San Diego, CA: San Diego International",8,2003,375,382,256,48,27,6105,7199,18544,20569,9091,51666,3378
SEA,"Seattle, WA: Seattle/Tacoma International",8,2003,482,730,364,57,113,8229,10015,27105,41966,13662,87912,4340
SFO,"San Francisco, CA: San Francisco International",8,2003,517,385,869,94,96,8755,10732,28598,27313,36056,99292,7018
SLC,"Salt Lake City, UT: Salt Lake City International",8,2003,440,326,381,112,74,9626,10999,23058,16936,13330,64430,10510
TPA,"Tampa, FL: Tampa International",8,2003,265,350,450,61,37,4317,5502,15252,24242,19501,63084,4009
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",9,2003,700,807,2267,161,359,26049,30377,45856,42031,82737,180656,9852
BOS,"Boston, MA: Logan International",9,2003,287,413,675,23,257,7860,9528,16865,22421,27189,68271,1751
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",9,2003,238,289,358,41,205,7031,8209,11225,15028,13129,42472,3048
CLT,"Charlotte, NC: Charlotte Douglas International",9,2003,169,271,475,14,145,7399,8474,8943,13038,15857,38730,870
DCA,"Washington, DC: Ronald Reagan Washington National",9,2003,231,161,470,28,354,5230,6507,11136,8715,17771,39420,1653
DEN,"Denver, CO: Denver International",9,2003,319,204,336,41,50,11120,12076,17206,9780,11566,41637,2968
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",9,2003,654,751,1027,125,571,23815,27045,41366,45046,50091,151679,15121
DTW,"Detroit, MI: Detroit Metro Wayne County",9,2003,296,236,562,52,144,10032,11336,18882,12584,17982,53533,4049
EWR,"Newark, NJ: Newark Liberty International",9,2003,247,483,3818,147,596,6880,12189,15809,38281,231105,295779,10490
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",9,2003,143,164,385,9,35,3884,4623,7175,9656,14175,31570,532
IAD,"Washington, DC: Washington Dulles International",9,2003,221,241,470,29,320,7113,8419,11679,14305,21596,50212,2618
IAH,"Houston, TX: George Bush Intercontinental/Houston",9,2003,291,498,1094,71,107,13010,15132,17168,30323,40922,94286,5738
JFK,"New York, NY: John F. Kennedy International",9,2003,245,159,473,19,34,4868,5811,13176,7732,14391,36388,996
LAS,"Las Vegas, NV: McCarran International",9,2003,374,445,370,18,68,10628,11905,16643,20772,12331,50816,1045
LAX,"Los Angeles, CA: Los Angeles International",9,2003,542,416,479,53,171,16520,18196,25779,18960,15896,63767,2954
LGA,"New York, NY: LaGuardia",9,2003,223,283,1099,77,341,6735,8771,11733,16588,57867,91015,4827
MCO,"Orlando, FL: Orlando International",9,2003,212,250,371,19,63,6219,7148,10620,13750,14734,40150,1021
MDW,"Chicago, IL: Chicago Midway International",9,2003,133,259,224,15,70,6509,7220,6622,13408,8075,29236,1097
MIA,"Miami, FL: Miami International",9,2003,156,125,479,25,67,3871,4732,10455,7536,18311,37924,1588
MSP,"Minneapolis, MN: Minneapolis-St Paul International",9,2003,317,228,755,90,117,10023,11543,21792,12359,27675,67403,5513
ORD,"Chicago, IL: Chicago O'Hare International",9,2003,573,892,3323,99,433,24285,29638,36242,49229,152057,243497,5892
PDX,"Portland, OR: Portland International",9,2003,133,142,144,6,44,4144,4617,6798,7490,4505,19295,463
PHL,"Philadelphia, PA: Philadelphia International",9,2003,207,361,1198,40,206,6902,8947,9829,21665,56548,91049,3007
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",9,2003,369,404,347,15,146,12372,13664,20111,18043,12205,51261,858
SAN,"San Diego, CA: San Diego International",9,2003,227,161,177,19,48,6250,6888,9486,7033,6643,24189,1010
SEA,"Seattle, WA: Seattle/Tacoma International",9,2003,292,308,352,18,86,7712,8786,15567,15602,11310,43479,922
SFO,"San Francisco, CA: San Francisco International",9,2003,339,233,765,27,65,8468,9907,16537,13574,29769,62072,2058
SLC,"Salt Lake City, UT: Salt Lake City International",9,2003,269,171,260,23,54,9769,10553,12162,7411,7967,29093,1423
TPA,"Tampa, FL: Tampa International",9,2003,135,197,283,11,34,4535,5198,6378,10114,10231,27377,637
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",10,2003,756,906,3355,170,189,26398,31787,48821,41875,111361,210846,8601
BOS,"Boston, MA: Logan International",10,2003,348,382,539,13,124,8543,9960,18198,19363,15163,53533,653
