Airport.Code,Airport.Name,Time.Month,Time.Year,Statistics.# of Delays.Carrier,Statistics.# of Delays.Late Aircraft,Statistics.# of Delays.National Aviation System,Statistics.# of Delays.Weather,Statistics.Flights.Cancelled,Statistics.Flights.On Time,Statistics.Flights.Total,Statistics.Minutes Delayed.Carrier,Statistics.Minutes Delayed.Late Aircraft,Statistics.Minutes Delayed.National Aviation System,Statistics.Minutes Delayed.Total,Statistics.Minutes Delayed.Weather
IAD,"Washington, DC: Washington Dulles International",4,2009,338,213,259,27,67,4647,5558,21485,15044,11563,50623,2520
IAH,"Houston, TX: George Bush Intercontinental/Houston",4,2009,541,774,1658,140,250,11232,14744,43032,57369,117973,241238,22655
JFK,"New York, NY: John F. Kennedy International",4,2009,429,501,1748,81,415,6428,9659,32663,37427,129678,207530,7545
LAS,"Las Vegas, NV: McCarran International",4,2009,564,795,699,55,65,10889,13078,29186,45754,22654,101832,4145
LAX,"Los Angeles, CA: Los Angeles International",4,2009,674,905,643,52,142,13303,15735,40124,56924,20982,122543,4332
LGA,"New York, NY: LaGuardia",4,2009,347,389,1875,120,359,5224,8372,26313,32003,125163,194118,10550
MCO,"Orlando, FL: Orlando International",4,2009,547,780,702,46,39,8662,10790,30731,55879,25405,116739,4591
MDW,"Chicago, IL: Chicago Midway International",4,2009,256,534,140,14,23,6145,7121,11409,29808,4947,47360,1085
MIA,"Miami, FL: Miami International",4,2009,367,397,560,27,29,4062,5459,23598,29844,21656,77391,2272
MSP,"Minneapolis, MN: Minneapolis-St Paul International",4,2009,371,335,495,31,78,8307,9629,21127,20149,15089,58590,2143
ORD,"Chicago, IL: Chicago O'Hare International",4,2009,916,1344,2209,119,636,20546,25871,65455,92715,143504,313352,11649
PDX,"Portland, OR: Portland International",4,2009,197,270,149,9,20,3651,4298,10220,15270,4812,31190,882
PHL,"Philadelphia, PA: Philadelphia International",4,2009,304,467,1276,127,106,5520,7812,19611,33961,72308,137659,11709
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",4,2009,698,774,747,61,117,13109,15520,40404,46552,23403,114671,4168
SAN,"San Diego, CA: San Diego International",4,2009,329,484,231,26,33,5709,6824,15089,25543,7792,50589,2039
SEA,"Seattle, WA: Seattle/Tacoma International",4,2009,415,437,579,29,26,6429,7929,21343,25664,18542,68368,2715
SFO,"San Francisco, CA: San Francisco International",4,2009,438,687,1224,55,112,8459,10990,24885,47952,67652,145338,4824
SLC,"Salt Lake City, UT: Salt Lake City International",4,2009,276,492,393,20,78,9472,10741,15498,25347,11060,53614,1623
TPA,"Tampa, FL: Tampa International",4,2009,318,419,373,29,23,5129,6303,17067,28108,13305,61054,2501
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",5,2009,1342,3211,5579,193,241,24511,35135,88233,189781,219658,511190,13481
BOS,"Boston, MA: Logan International",5,2009,433,521,793,73,164,7321,9310,26779,33576,40365,105762,5031
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",5,2009,339,624,376,77,35,7377,8847,16748,34382,16482,73471,5588
CLT,"Charlotte, NC: Charlotte Douglas International",5,2009,501,399,1280,85,65,7628,9977,28187,23599,47701,106447,6886
DCA,"Washington, DC: Ronald Reagan Washington National",5,2009,334,296,455,69,84,5649,6899,17150,16217,17396,55533,4758
DEN,"Denver, CO: Denver International",5,2009,668,986,1235,85,122,16638,19761,36803,56085,41823,140527,5743
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",5,2009,766,1892,1345,149,475,17554,22327,57479,113377,72258,259403,16138
DTW,"Detroit, MI: Detroit Metro Wayne County",5,2009,494,480,700,51,79,11173,12993,32368,26635,23617,86212,3542
EWR,"Newark, NJ: Newark Liberty International",5,2009,268,494,2523,106,181,6620,10216,19898,34991,197224,259354,7187
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",5,2009,325,354,513,19,16,3728,4980,15449,20453,17797,54649,912
IAD,"Washington, DC: Washington Dulles International",5,2009,374,240,417,47,52,4492,5644,22848,14592,20722,61372,3140
IAH,"Houston, TX: George Bush Intercontinental/Houston",5,2009,403,511,625,52,22,13560,15187,29023,28708,19684,81733,4085
JFK,"New York, NY: John F. Kennedy International",5,2009,476,556,2131,157,114,7504,10964,35954,33209,114764,194206,10071
LAS,"Las Vegas, NV: McCarran International",5,2009,526,722,476,34,55,11518,13345,24635,36555,14729,78033,2035
LAX,"Los Angeles, CA: Los Angeles International",5,2009,593,912,494,62,136,13997,16204,31463,52071,16484,103812,3585
LGA,"New York, NY: LaGuardia",5,2009,284,375,2178,161,283,5136,8489,17476,23850,116919,169987,11705
MCO,"Orlando, FL: Orlando International",5,2009,571,694,770,40,32,8350,10498,30112,42889,26836,102864,2918
MDW,"Chicago, IL: Chicago Midway International",5,2009,263,543,199,18,32,6227,7322,11544,28255,6483,47183,797
MIA,"Miami, FL: Miami International",5,2009,348,429,690,52,32,3925,5510,23425,29531,25240,81439,3202
MSP,"Minneapolis, MN: Minneapolis-St Paul International",5,2009,420,369,586,37,76,8834,10347,26952,20550,17039,66970,2117
ORD,"Chicago, IL: Chicago O'Hare International",5,2009,869,1240,1770,121,455,21996,26509,58896,77015,96432,242910,10452
PDX,"Portland, OR: Portland International",5,2009,194,294,300,13,20,3653,4478,10833,15293,9135,36118,857
PHL,"Philadelphia, PA: Philadelphia International",5,2009,340,460,1412,123,115,5685,8156,20001,30198,78383,138310,9676
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",5,2009,681,721,522,39,161,13556,15716,35156,38342,14922,91073,2453
SAN,"San Diego, CA: San Diego International",5,2009,314,451,219,17,35,6121,7178,14799,22431,7221,45573,1083
SEA,"Seattle, WA: Seattle/Tacoma International",5,2009,393,438,681,23,14,7132,8697,19929,23618,20290,65311,1209
SFO,"San Francisco, CA: San Francisco International",5,2009,423,769,2215,68,101,7884,11491,27359,52358,128827,213638,4949
SLC,"Salt Lake City, UT: Salt Lake City International",5,2009,263,320,347,12,39,9971,10956,12742,16133,9611,39271,713
TPA,"Tampa, FL: Tampa International",5,2009,326,416,394,28,10,4810,6005,16638,24396,13310,56087,1656
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",6,2009,1442,3110,3190,225,568,27621,36343,105390,202976,154349,483746,20912
BOS,"Boston, MA: Logan International",6,2009,506,679,2065,126,294,5805,9505,35543,51412,136750,236136,12333
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",6,2009,418,829,557,122,83,6851,8910,23114,53496,31477,119471,11252
CLT,"Charlotte, NC: Charlotte Douglas International",6,2009,525,448,871,83,79,7942,9956,29555,28496,34176,99524,7178
DCA,"Washington, DC: Ronald Reagan Washington National",6,2009,413,423,648,86,195,4980,6815,23807,27856,35674,94556,7137
DEN,"Denver, CO: Denver International",6,2009,1002,1772,2959,217,240,14636,20995,61319,120333,140309,340588,18318
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",6,2009,1050,2142,1293,195,684,16774,22343,84472,130868,54515,286235,16188
DTW,"Detroit, MI: Detroit Metro Wayne County",6,2009,745,873,829,114,277,10675,13546,50831,56035,33126,152803,12434
EWR,"Newark, NJ: Newark Liberty International",6,2009,340,597,2221,111,227,6479,10083,26179,52532,181477,270504,10272
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",6,2009,335,387,407,34,29,3576,4777,18759,26517,16270,64477,2915
IAD,"Washington, DC: Washington Dulles International",6,2009,478,333,445,57,145,4480,5962,33207,25397,28452,92160,5099
IAH,"Houston, TX: George Bush Intercontinental/Houston",6,2009,424,701,493,78,39,14021,15783,31199,44484,16879,98937,6236
JFK,"New York, NY: John F. Kennedy International",6,2009,567,757,2083,156,283,7092,10980,45000,57242,126440,243954,15237
LAS,"Las Vegas, NV: McCarran International",6,2009,672,1103,850,66,88,10212,13020,35207,61538,28978,131840,5968
LAX,"Los Angeles, CA: Los Angeles International",6,2009,990,1365,1220,90,172,12689,16551,54672,84710,43479,191278,8128
LGA,"New York, NY: LaGuardia",6,2009,401,498,2046,187,464,4829,8524,28099,39109,124298,208610,16948
MCO,"Orlando, FL: Orlando International",6,2009,580,824,658,74,47,8043,10273,33739,58440,30526,129729,6891
MDW,"Chicago, IL: Chicago Midway International",6,2009,292,707,229,73,12,5897,7248,15001,41585,11480,74393,6193
MIA,"Miami, FL: Miami International",6,2009,396,516,578,108,66,3542,5246,27048,41988,27406,104569,7982
MSP,"Minneapolis, MN: Minneapolis-St Paul International",6,2009,648,699,786,65,118,8776,11108,41124,43839,25996,117681,6641
ORD,"Chicago, IL: Chicago O'Hare International",6,2009,1372,1777,2342,174,811,20259,26907,103470,125247,157984,405787,18857
PDX,"Portland, OR: Portland International",6,2009,245,358,192,18,18,3776,4624,11806,20740,6431,40624,1578
PHL,"Philadelphia, PA: Philadelphia International",6,2009,374,601,1393,164,146,5502,8210,24286,45276,74835,157513,13059
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",6,2009,907,996,952,62,155,12328,15425,50088,56401,30525,142750,5145
SAN,"San Diego, CA: San Diego International",6,2009,491,706,529,24,63,5474,7296,24501,39083,18805,84950,2407
SEA,"Seattle, WA: Seattle/Tacoma International",6,2009,553,618,547,36,32,7578,9379,27147,36440,18032,85058,3242
SFO,"San Francisco, CA: San Francisco International",6,2009,609,1129,1947,67,118,8148,12033,36191,82894,110176,236256,6824
SLC,"Salt Lake City, UT: Salt Lake City International",6,2009,448,831,860,36,54,9710,11972,25100,44838,29178,101688,2538
TPA,"Tampa, FL: Tampa International",6,2009,365,460,290,53,21,4484,5680,19411,29955,13632,68060,5008
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",7,2009,1667,3906,4649,258,482,27101,38241,133122,277184,257627,691581,23460
BOS,"Boston, MA: Logan International",7,2009,519,705,1461,121,326,6761,9910,37235,55271,106860,210165,10527
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",7,2009,434,813,549,94,53,7201,9171,22786,50486,25005,104911,6588
CLT,"Charlotte, NC: Charlotte Douglas International",7,2009,553,397,916,65,86,8136,10172,31686,24700,34621,94988,3854
DCA,"Washington, DC: Ronald Reagan Washington National",7,2009,367,446,482,75,158,5385,6938,19648,29845,20572,76565,6367
DEN,"Denver, CO: Denver International",7,2009,995,1559,1951,162,171,16650,21627,56155,89098,77479,233955,10998
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",7,2009,1015,2509,1563,231,420,17367,23241,79519,155262,65796,316954,16262
DTW,"Detroit, MI: Detroit Metro Wayne County",7,2009,748,1063,799,77,198,10993,13897,52365,64561,29217,152658,6222
EWR,"Newark, NJ: Newark Liberty International",7,2009,345,599,1941,103,206,6856,10157,26160,45975,159600,239072,7230
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",7,2009,344,417,422,34,16,3812,5068,18775,29871,17356,68518,2438
IAD,"Washington, DC: Washington Dulles International",7,2009,373,294,394,53,94,4950,6170,23834,22329,19252,69923,4470
IAH,"Houston, TX: George Bush Intercontinental/Houston",7,2009,589,972,1071,120,86,13803,16753,42313,63155,53399,171497,12302
JFK,"New York, NY: John F. Kennedy International",7,2009,588,726,1769,98,395,7765,11410,45770,55880,117507,227920,8661
LAS,"Las Vegas, NV: McCarran International",7,2009,738,1058,628,65,82,10784,13378,36859,52674,21251,114873,3871
LAX,"Los Angeles, CA: Los Angeles International",7,2009,1061,1188,772,86,158,14173,17463,60251,68620,28067,163508,6344
LGA,"New York, NY: LaGuardia",7,2009,430,537,1394,140,413,5971,9005,28811,41045,95658,177836,12288
MCO,"Orlando, FL: Orlando International",7,2009,680,883,668,57,32,8293,10649,39166,59674,26860,130532,4660
MDW,"Chicago, IL: Chicago Midway International",7,2009,320,677,192,37,13,6306,7554,13851,34323,7853,57889,1793
MIA,"Miami, FL: Miami International",7,2009,434,468,574,82,52,3807,5447,30655,34031,23262,94909,6857
MSP,"Minneapolis, MN: Minneapolis-St Paul International",7,2009,653,667,775,69,88,9531,11803,43916,39590,24703,112597,4275
ORD,"Chicago, IL: Chicago O'Hare International",7,2009,1234,1473,1394,142,423,22880,27567,91590,88195,52467,241627,9309
PDX,"Portland, OR: Portland International",7,2009,324,351,203,20,9,3900,4816,16072,19382,7382,44366,1312
PHL,"Philadelphia, PA: Philadelphia International",7,2009,376,486,1040,121,100,6195,8347,21778,31895,49170,111693,8814
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",7,2009,923,832,755,67,156,13170,15979,47355,43521,24394,119665,3936
SAN,"San Diego, CA: San Diego International",7,2009,487,613,313,34,31,6070,7553,21784,31314,10720,66262,2423
SEA,"Seattle, WA: Seattle/Tacoma International",7,2009,622,564,573,34,23,7980,9817,32125,32109,18116,84842,2355
SFO,"San Francisco, CA: San Francisco International",7,2009,634,1090,1389,66,138,9174,12516,39088,68074,67056,179207,4820
SLC,"Salt Lake City, UT: Salt Lake City International",7,2009,512,730,550,29,51,10757,12642,29112,36653,15740,83661,2030
TPA,"Tampa, FL: Tampa International",7,2009,388,455,311,45,18,4599,5835,20936,27482,12302,63363,2580
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",8,2009,1495,3487,4727,271,438,26998,37499,103771,224281,213769,564003,22032
BOS,"Boston, MA: Logan International",8,2009,544,568,958,72,187,7346,9701,31637,40436,53572,132433,6727
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",8,2009,441,716,559,115,37,7019,8916,23331,47132,27164,106485,8600
CLT,"Charlotte, NC: Charlotte Douglas International",8,2009,521,410,1112,73,138,7755,10025,30702,25686,46578,107693,4670
DCA,"Washington, DC: Ronald Reagan Washington National",8,2009,380,367,483,57,123,5273,6695,19882,24092,21078,68845,3793
DEN,"Denver, CO: Denver International",8,2009,893,1299,1018,90,137,17828,21343,50386,71001,37497,164858,5228
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",8,2009,849,1840,1073,306,268,18816,23267,57594,109020,44349,231901,20572
DTW,"Detroit, MI: Detroit Metro Wayne County",8,2009,738,1049,921,73,170,10307,13279,59813,62623,31650,160412,6196
EWR,"Newark, NJ: Newark Liberty International",8,2009,334,544,1813,85,124,7027,10033,24383,42755,126659,199789,5865
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",8,2009,342,348,384,28,13,3881,5002,18480,21951,14614,56904,1712
IAD,"Washington, DC: Washington Dulles International",8,2009,393,256,408,55,80,4850,6055,25838,17483,21362,69036,4346
IAH,"Houston, TX: George Bush Intercontinental/Houston",8,2009,559,601,744,73,40,14682,16796,41131,35712,29888,111895,4668
JFK,"New York, NY: John F. Kennedy International",8,2009,573,657,1761,113,307,7835,11296,45844,47104,97628,200428,9768
LAS,"Las Vegas, NV: McCarran International",8,2009,614,790,408,47,62,11313,13248,31361,42538,13714,90527,2586
LAX,"Los Angeles, CA: Los Angeles International",8,2009,889,1044,659,76,113,14465,17273,52194,61593,24180,142871,4695
LGA,"New York, NY: LaGuardia",8,2009,445,418,1266,101,271,6270,8851,25991,29105,77441,141543,8788
MCO,"Orlando, FL: Orlando International",8,2009,645,724,679,56,31,8081,10235,36125,47157,27096,114118,3465
MDW,"Chicago, IL: Chicago Midway International",8,2009,310,601,299,71,26,6030,7358,15415,36285,14715,71932,5268
MIA,"Miami, FL: Miami International",8,2009,369,388,442,66,50,4066,5392,24203,26043,16165,70947,4051
MSP,"Minneapolis, MN: Minneapolis-St Paul International",8,2009,600,728,1104,129,160,8251,11005,44454,45472,49340,151148,11734
ORD,"Chicago, IL: Chicago O'Hare International",8,2009,1239,1713,2283,194,480,21597,27575,87265,110571,121819,338463,17375
PDX,"Portland, OR: Portland International",8,2009,236,281,124,20,9,4100,4772,11631,14199,3658,30917,1382
PHL,"Philadelphia, PA: Philadelphia International",8,2009,380,468,1024,92,69,5996,8083,24688,31801,49532,114083,7988
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",8,2009,746,695,516,52,123,13498,15669,39702,36865,16199,96004,2791
SAN,"San Diego, CA: San Diego International",8,2009,388,445,254,37,20,6227,7382,18054,24167,8946,54085,2750
SEA,"Seattle, WA: Seattle/Tacoma International",8,2009,505,469,401,37,17,8212,9648,24422,25886,12681,65388,2166
SFO,"San Francisco, CA: San Francisco International",8,2009,553,963,1278,65,141,9455,12470,34085,59634,66975,164528,3613
SLC,"Salt Lake City, UT: Salt Lake City International",8,2009,414,625,441,26,54,10675,12268,22239,29460,12802,66292,1356
TPA,"Tampa, FL: Tampa International",8,2009,339,409,269,31,17,4556,5637,15996,24950,10617,54090,2452
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",9,2009,1150,2091,4872,148,265,25380,34017,93013,139709,242058,488406,13591
BOS,"Boston, MA: Logan International",9,2009,411,263,668,29,70,7469,8920,21933,14931,25467,64608,2222
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",9,2009,267,402,168,16,14,7255,8132,12595,19827,4971,38740,1282
CLT,"Charlotte, NC: Charlotte Douglas International",9,2009,371,186,593,21,38,8125,9347,20642,9723,16865,48234,947
DCA,"Washington, DC: Ronald Reagan Washington National",9,2009,244,164,214,32,40,5593,6298,12274,8986,5964,29259,1879
DEN,"Denver, CO: Denver International",9,2009,537,736,696,116,88,16689,18901,30158,38955,19683,95216,6405
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",9,2009,675,1194,1016,93,178,18640,21912,59942,65968,38816,173138,8297
DTW,"Detroit, MI: Detroit Metro Wayne County",9,2009,466,459,720,18,64,10384,12114,28606,24212,19737,73730,1161
EWR,"Newark, NJ: Newark Liberty International",9,2009,213,212,908,29,62,7636,9073,14299,11303,49513,77650,2463
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",9,2009,211,138,219,14,14,3754,4361,10109,8076,7086,26125,833
IAD,"Washington, DC: Washington Dulles International",9,2009,295,142,186,22,51,4414,5116,16899,8153,6217,33322,2022
IAH,"Houston, TX: George Bush Intercontinental/Houston",9,2009,322,358,1172,27,28,12574,14533,18564,18272,32098,71344,2341
JFK,"New York, NY: John F. Kennedy International",9,2009,485,159,995,32,15,7723,9428,32117,8709,41223,84274,2159
LAS,"Las Vegas, NV: McCarran International",9,2009,391,435,255,12,28,11410,12546,18236,20619,7596,47116,598
LAX,"Los Angeles, CA: Los Angeles International",9,2009,494,532,326,32,103,14127,15624,26637,28814,10011,67340,1845
LGA,"New York, NY: LaGuardia",9,2009,298,211,606,45,130,6628,7938,20939,11569,29321,64880,3016
MCO,"Orlando, FL: Orlando International",9,2009,360,276,262,14,25,7673,8620,17661,15178,8061,41892,945
MDW,"Chicago, IL: Chicago Midway International",9,2009,195,386,168,30,21,6239,7056,8144,17261,5413,32420,1475
MIA,"Miami, FL: Miami International",9,2009,215,231,315,29,21,4023,4842,13813,15039,10241,40731,1561
MSP,"Minneapolis, MN: Minneapolis-St Paul International",9,2009,325,299,1003,48,62,7666,9419,19236,16501,37350,75948,2820
ORD,"Chicago, IL: Chicago O'Hare International",9,2009,730,922,1057,156,287,22670,25917,51218,53135,41946,162327,15974
PDX,"Portland, OR: Portland International",9,2009,117,153,97,7,7,3883,4266,6297,7627,2826,17519,748
PHL,"Philadelphia, PA: Philadelphia International",9,2009,268,246,698,47,63,5990,7321,15363,15439,34153,69912,4900
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",9,2009,467,450,355,18,68,13133,14497,25286,22294,9119,58214,1419
SAN,"San Diego, CA: San Diego International",9,2009,255,242,142,28,31,5927,6636,10939,10460,4555,27558,1565
SEA,"Seattle, WA: Seattle/Tacoma International",9,2009,264,209,268,9,11,7638,8414,14040,10857,7083,32562,537
SFO,"San Francisco, CA: San Francisco International",9,2009,318,502,744,28,103,9507,11217,18279,28269,38219,86796,1897
SLC,"Salt Lake City, UT: Salt Lake City International",9,2009,236,334,346,21,27,9327,10298,18360,16742,10218,46770,1296
TPA,"Tampa, FL: Tampa International",9,2009,201,202,161,18,7,4307,4912,9689,10518,5147,26437,1083
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",10,2009,1291,2761,5787,170,211,25515,35768,92875,168219,258640,532243,12389
BOS,"Boston, MA: Logan International",10,2009,413,429,659,40,105,7564,9220,22042,25118,37533,87241,2540
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",10,2009,353,598,210,20,28,7268,8484,15149,29165,6210,51330,725
CLT,"Charlotte, NC: Charlotte Douglas International",10,2009,480,378,801,30,67,8248,10018,26380,20218,25034,73825,2124
DCA,"Washington, DC: Ronald Reagan Washington National",10,2009,261,350,278,28,51,5676,6658,12474,18728,8390,41850,2247
DEN,"Denver, CO: Denver International",10,2009,897,1705,1681,145,368,14571,19403,50838,98397,58889,219202,10800
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",10,2009,953,2243,2420,158,389,16323,22625,74679,135393,100080,323319,13072
DTW,"Detroit, MI: Detroit Metro Wayne County",10,2009,624,699,963,39,77,10120,12531,39752,35865,29013,106547,1737
EWR,"Newark, NJ: Newark Liberty International",10,2009,234,487,1704,49,113,6998,9600,16205,33352,118129,171043,3141
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",10,2009,273,262,211,18,8,4014,4792,13322,13010,6446,33654,816
IAD,"Washington, DC: Washington Dulles International",10,2009,353,173,236,22,52,4441,5282,19457,9058,10232,40644,1868
IAH,"Houston, TX: George Bush Intercontinental/Houston",10,2009,548,983,2491,73,147,11100,15468,39459,68055,93958,208858,7125
JFK,"New York, NY: John F. Kennedy International",10,2009,339,337,926,32,44,7826,9523,22080,18968,44673,88758,3014
LAS,"Las Vegas, NV: McCarran International",10,2009,683,1038,1146,33,65,10043,13034,29458,47510,33926,113034,1914
LAX,"Los Angeles, CA: Los Angeles International",10,2009,846,1259,1378,50,152,12510,16233,42957,65802,42771,154801,3024
LGA,"New York, NY: LaGuardia",10,2009,302,371,970,88,141,6399,8282,19663,20788,51412,98058,6180
MCO,"Orlando, FL: Orlando International",10,2009,466,518,323,17,15,8054,9403,24702,28297,9835,64315,1398
MDW,"Chicago, IL: Chicago Midway International",10,2009,316,636,270,9,39,5947,7231,13669,33205,7815,55336,549
MIA,"Miami, FL: Miami International",10,2009,304,289,230,12,23,4190,5057,18518,18914,6939,45210,814
MSP,"Minneapolis, MN: Minneapolis-St Paul International",10,2009,501,774,2563,374,351,5154,9755,43379,52798,171195,300935,33527
ORD,"Chicago, IL: Chicago O'Hare International",10,2009,998,1809,2560,93,383,20891,26759,70213,102464,134875,315678,7103
PDX,"Portland, OR: Portland International",10,2009,263,360,350,11,18,3299,4301,12629,19550,11057,43893,576
PHL,"Philadelphia, PA: Philadelphia International",10,2009,278,390,898,93,81,5942,7689,15504,21739,49155,93552,7147
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",10,2009,851,990,1301,51,120,11792,15127,42503,50485,42425,140189,4551
SAN,"San Diego, CA: San Diego International",10,2009,441,617,472,20,60,5179,6832,17707,28157,14982,62505,1500
SEA,"Seattle, WA: Seattle/Tacoma International",10,2009,435,472,676,15,22,6812,8453,19598,25506,20286,66871,1263
SFO,"San Francisco, CA: San Francisco International",10,2009,511,951,1935,56,177,7995,11663,30066,63771,126077,225337,5271
SLC,"Salt Lake City, UT: Salt Lake City International",10,2009,374,703,907,31,61,8370,10457,20306,34070,28412,85392,2503
TPA,"Tampa, FL: Tampa International",10,2009,287,327,185,18,4,4536,5363,12933,15376,6020,35309,958
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",11,2009,920,1808,3858,80,244,26985,33915,70726,95798,155603,326952,4798
BOS,"Boston, MA: Logan International",11,2009,340,313,644,12,77,7484,8877,18090,16069,24411,59431,861
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",11,2009,258,401,211,8,21,7176,8074,11759,18966,6425,37459,299
CLT,"Charlotte, NC: Charlotte Douglas International",11,2009,348,269,632,17,44,8228,9548,19110,12114,20014,51954,690
DCA,"Washington, DC: Ronald Reagan Washington National",11,2009,221,208,262,9,44,5570,6322,10426,10988,7186,29192,569
DEN,"Denver, CO: Denver International",11,2009,411,461,289,25,102,16664,17964,26248,24732,7462,59964,1451
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",11,2009,578,995,737,49,161,19119,21728,43927,50312,24289,122454,3857
DTW,"Detroit, MI: Detroit Metro Wayne County",11,2009,382,337,370,32,50,11069,12299,25598,19912,10738,59918,3573
EWR,"Newark, NJ: Newark Liberty International",11,2009,201,286,1401,37,92,7287,9320,12989,18006,104778,139188,3326
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",11,2009,228,215,250,6,10,4496,5214,11111,12140,8478,31960,206
IAD,"Washington, DC: Washington Dulles International",11,2009,275,116,263,15,36,4332,5042,15541,6199,9168,31862,948
IAH,"Houston, TX: George Bush Intercontinental/Houston",11,2009,345,363,617,17,36,13578,14971,18553,18741,16499,55049,1182
JFK,"New York, NY: John F. Kennedy International",11,2009,286,207,588,27,13,8164,9300,23536,11018,21203,57290,1490
LAS,"Las Vegas, NV: McCarran International",11,2009,334,266,190,7,38,11428,12275,16283,12397,5417,34792,637
LAX,"Los Angeles, CA: Los Angeles International",11,2009,439,459,323,30,107,14088,15469,22281,25452,10380,61251,3083
LGA,"New York, NY: LaGuardia",11,2009,225,253,899,60,106,6160,7709,12289,13109,41665,70698,3627
MCO,"Orlando, FL: Orlando International",11,2009,363,399,315,4,24,8493,9606,17038,21268,9386,48093,383
MDW,"Chicago, IL: Chicago Midway International",11,2009,193,274,104,1,31,6362,6968,8366,12493,3332,24245,46
MIA,"Miami, FL: Miami International",11,2009,271,231,241,7,19,4401,5182,18499,13695,7499,40433,734
MSP,"Minneapolis, MN: Minneapolis-St Paul International",11,2009,246,194,209,9,31,8413,9109,16298,9615,5523,31917,435
ORD,"Chicago, IL: Chicago O'Hare International",11,2009,674,624,652,37,150,22769,24925,45788,31864,19589,100395,3120
PDX,"Portland, OR: Portland International",11,2009,112,90,68,10,8,3690,3982,6526,5121,2244,14752,824
PHL,"Philadelphia, PA: Philadelphia International",11,2009,206,187,759,51,48,5932,7193,13641,10776,44071,73255,4745
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",11,2009,406,292,253,10,79,13641,14692,23089,14599,6795,45175,552
SAN,"San Diego, CA: San Diego International",11,2009,223,170,97,20,54,5764,6371,9985,8199,2833,22348,1257
SEA,"Seattle, WA: Seattle/Tacoma International",11,2009,247,185,205,8,28,6914,7591,12266,10352,5449,28434,354
SFO,"San Francisco, CA: San Francisco International",11,2009,260,326,536,13,82,9710,10936,15876,20839,31884,69489,865
SLC,"Salt Lake City, UT: Salt Lake City International",11,2009,173,221,183,13,47,9262,9912,10609,10619,4953,26981,743
TPA,"Tampa, FL: Tampa International",11,2009,242,246,185,5,14,4753,5449,10494,12544,5095,28390,242
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",12,2009,1543,2789,5060,260,778,23656,34122,115049,189980,236641,563354,21141
BOS,"Boston, MA: Logan International",12,2009,511,651,546,89,345,6577,8733,28440,41993,24795,101324,6069
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",12,2009,464,901,404,79,332,6055,8264,23901,51591,19870,105106,9522
CLT,"Charlotte, NC: Charlotte Douglas International",12,2009,626,499,1079,88,282,7287,9874,35251,27238,41347,112363,8412
DCA,"Washington, DC: Ronald Reagan Washington National",12,2009,351,401,361,80,411,4642,6324,19839,25583,15585,67874,6810
DEN,"Denver, CO: Denver International",12,2009,992,1885,1359,199,397,14212,19064,57663,117888,48462,238814,14402
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",12,2009,1038,2166,1759,260,762,16396,22473,76316,129527,82808,311046,21913
